2.4.15,Blight,FUGL?,inferno,9:16
2.4.15,schlaegeros,Frederiksberg,mirage,16:7
2.4.15,Temp.no,myRevenge,inferno,16:2
2.4.15,TAKTIKSTATIV,malefiQ,dust2,3:16
2.4.15,fnatic,Titan,inferno,16:5
2.4.15,partyastronauts,no_rhythm,cache,10:16
2.4.15,MnM,re:take,cache,19:16
2.4.15,Sesp&aring;mermaid,Frederiksberg,overpass,11:16
2.4.15,Badger,Sapiens,mirage,16:10
2.4.15,Lucidez,myRevenge,inferno,8:16
2.4.15,CPLAY,Temp.no,dust2,16:5
2.4.15,TAKTIKSTATIV,Sharkgaming,mirage,10:16
2.4.15,FONA,Space Soldiers,dust2,8:16
2.4.15,NiP,fnatic,inferno,16:7
2.4.15,Lemondogs,Menace,cache,13:16
2.4.15,myKPV.de,Lions,cache,16:6
2.4.15,FUGL?,h$fyre,inferno,16:13
2.4.15,Blight,INSHOCK,mirage,8:16
2.4.15,Games4u,schlaegeros,cache,16:10
2.4.15,Free Transfer,TJ'S HELTE,inferno,16:2
2.4.15,malefiQ,melty,cache,16:4
2.4.15,puta,jQntefabrikkeN,dust2,16:9
2.4.15,Natus Vincere,fnatic,overpass,16:11
2.4.15,MnM,Menace,cache,2:16
2.4.15,Lemondogs,re:take,cache,16:4
2.4.15,Lions,no_rhythm,nuke,16:2
2.4.15,FUGL?,INSHOCK,cache,2:16
2.4.15,Blight,h$fyre,mirage,16:11
2.4.15,Games4u,Frederiksberg,mirage,16:8
2.4.15,Sesp&aring;mermaid,schlaegeros,cache,10:16
2.4.15,Sapiens,FONA,mirage,8:16
2.4.15,Space Soldiers,Badger,mirage,16:8
2.4.15,CPLAY,Lucidez,overpass,16:6
2.4.15,Temp.no,myRevenge,cache,16:11
2.4.15,puta,TJ'S HELTE,mirage,16:5
2.4.15,Free Transfer,jQntefabrikkeN,mirage,4:16
2.4.15,Sharkgaming,melty,mirage,16:11
2.4.15,TAKTIKSTATIV,malefiQ,mirage,16:11
2.4.15,partyastronauts,myKPV.de,inferno,4:16
2.4.15,MIXERINO,Free Transfer,nuke,2:16
2.4.15,DENiED,malefiQ,nuke,11:16
2.4.15,MnM,e9,nuke,16:13
2.4.15,partyastronauts,eSpuma,nuke,16:1
2.4.15,FoxamoX,Sapiens,nuke,10:16
2.4.15,Frederiksberg,1. Holdet,nuke,16:9
2.4.15,PRiME,FUGL?,nuke,13:16
2.4.15,Sharkgaming,TEMPEST,nuke,16:9
2.4.15,kRoGhs KanonEr,TJ'S HELTE,nuke,14:16
2.4.15,h$fyre,naptoR.Factory,nuke,16:9
2.4.15,schlaegeros,Frederiksberg,dust2,16:12
2.4.15,puta,Free Transfer,dust2,16:11
2.4.15,FONA,DENiED,dust2,22:19
2.4.15,MnM,no_rhythm,dust2,10:16
2.4.15,Lemondogs,eSpuma,dust2,16:1
2.4.15,Blight,Sapiens,dust2,16:9
2.4.15,PRiME,Space Soldiers,dust2,7:16
2.4.15,Temp.no,h$fyre,dust2,16:6
2.4.15,Sharkgaming,jQntefabrikkeN,dust2,16:19
2.4.15,TAKTIKSTATIV,TJ'S HELTE,dust2,16:4
2.4.15,myKPV.de,re:take,dust2,16:10
2.4.15,myKPV.de,re:take,inferno,16:9
2.4.15,INSHOCK,Sesp&aring;mermaid,dust2,16:3
2.4.15,Sesp&aring;mermaid,INSHOCK,inferno,3:16
2.4.15,CPLAY,Badger,dust2,16:2
2.4.15,CPLAY,Badger,inferno,16:8
2.4.15,myRevenge,melty,dust2,10:16
2.4.15,myRevenge,melty,inferno,6:16
2.4.15,MIXERINO,Free Transfer,inferno,1:16
2.4.15,DENiED,malefiQ,inferno,16:5
2.4.15,no_rhythm,e9,inferno,16:10
2.4.15,eSpuma,partyastronauts,inferno,16:7
2.4.15,Blight,FoxamoX,inferno,16:1
2.4.15,Frederiksberg,1. Holdet,inferno,25:23
2.4.15,FUGL?,Space Soldiers,inferno,7:16
2.4.15,naptoR.Factory,h$fyre,inferno,14:16
2.4.15,jQntefabrikkeN,TEMPEST,inferno,16:1
2.4.15,kRoGhs KanonEr,TJ'S HELTE,inferno,6:16
2.4.15,Games4u,Lucidez,dust2,16:9
2.4.15,Lucidez,Games4u,inferno,9:16
2.4.15,Lions,Menace,dust2,5:16
2.4.15,Menace,Lions,inferno,16:5
1.4.15,SKDC,CLG,dust2,5:16
1.4.15,eLevate,Liquid,nuke,16:6
1.4.15,Mythic,Cloud9,cache,8:16
31.3.15,LGB,TSM,dust2,11:16
31.3.15,Natus Vincere,Titan,dust2,16:9
31.3.15,Titan,Natus Vincere,inferno,21:19
31.3.15,fnatic,LGB,cache,16:11
29.3.15,EnVyUs,NiP,mirage,16:2
29.3.15,NiP,EnVyUs,inferno,9:16
29.3.15,NiP,TSM,nuke,16:13
29.3.15,NiP,TSM,dust2,16:6
29.3.15,Streamline,Immunity,dust2,7:16
29.3.15,TRIDENT,The Chiefs,cache,10:16
29.3.15,Vox Eminor,AVANT GARDE,cache,16:9
28.3.15,EnVyUs,NiP,inferno,16:1
28.3.15,NiP,EnVyUs,cache,9:16
28.3.15,Titan,TSM,dust2,5:16
28.3.15,Titan,TSM,cache,16:14
28.3.15,Titan,TSM,inferno,14:16
28.3.15,Virtus.pro,TSM,overpass,17:19
28.3.15,Virtus.pro,TSM,inferno,16:12
28.3.15,TSM,Virtus.pro,cache,16:12
28.3.15,Property,Orbit,inferno,13:16
28.3.15,Orbit,Property,cache,16:8
28.3.15,Natus Vincere,Titan,cache,10:16
28.3.15,Natus Vincere,Titan,dust2,11:16
27.3.15,Natus Vincere,EnVyUs,nuke,2:16
27.3.15,Natus Vincere,EnVyUs,overpass,14:16
27.3.15,EnVyUs,Natus Vincere,inferno,12:16
27.3.15,NiP,Virtus.pro,inferno,16:6
27.3.15,Virtus.pro,NiP,mirage,6:16
27.3.15,Natus Vincere,TSM,overpass,16:11
27.3.15,Natus Vincere,TSM,dust2,19:15
27.3.15,Natus Vincere,TSM,inferno,11:16
27.3.15,NiP,Titan,dust2,16:11
27.3.15,NiP,Titan,cache,25:22
27.3.15,Mythic,CLG,mirage,8:16
27.3.15,Liquid,Cloud9,cobblestone,16:13
27.3.15,SKDC,eLevate,nuke,9:16
25.3.15,Titan,Virtus.pro,cobblestone,15:21
25.3.15,TSM,fnatic,cache,16:14
25.3.15,fnatic,TSM,cobblestone,16:8
